ccode,year
840,1991
850,1991
900,1991
910,1991
920,1991
935,1991
940,1991
950,1991
983,1991
987,1991
990,1991
2,1992
20,1992
31,1992
40,1992
41,1992
42,1992
51,1992
52,1992
53,1992
54,1992
55,1992
56,1992
57,1992
58,1992
60,1992
70,1992
80,1992
90,1992
91,1992
92,1992
93,1992
94,1992
95,1992
100,1992
101,1992
110,1992
115,1992
130,1992
135,1992
140,1992
145,1992
150,1992
155,1992
160,1992
165,1992
200,1992
205,1992
210,1992
211,1992
212,1992
220,1992
223,1992
225,1992
230,1992
235,1992
255,1992
290,1992
305,1992
310,1992
315,1992
325,1992
331,1992
338,1992
339,1992
344,1992
345,1992
346,1992
349,1992
350,1992
352,1992
355,1992
359,1992
360,1992
365,1992
366,1992
367,1992
368,1992
369,1992
370,1992
371,1992
372,1992
373,1992
375,1992
380,1992
385,1992
390,1992
395,1992
402,1992
403,1992
404,1992
411,1992
420,1992
432,1992
433,1992
434,1992
435,1992
436,1992
437,1992
438,1992
439,1992
450,1992
451,1992
452,1992
461,1992
471,1992
475,1992
481,1992
482,1992
483,1992
484,1992
490,1992
500,1992
501,1992
510,1992
516,1992
517,1992
520,1992
522,1992
530,1992
540,1992
541,1992
551,1992
552,1992
553,1992
560,1992
565,1992
570,1992
571,1992
572,1992
580,1992
581,1992
590,1992
591,1992
600,1992
615,1992
616,1992
620,1992
625,1992
630,1992
640,1992
645,1992
651,1992
652,1992
660,1992
663,1992
666,1992
670,1992
679,1992
690,1992
692,1992
694,1992
696,1992
698,1992
700,1992
701,1992
702,1992
703,1992
704,1992
705,1992
710,1992
712,1992
713,1992
731,1992
732,1992
740,1992
750,1992
760,1992
770,1992
771,1992
775,1992
780,1992
781,1992
790,1992
800,1992
811,1992
812,1992
816,1992
820,1992
830,1992
835,1992
840,1992
850,1992
900,1992
910,1992
920,1992
935,1992
940,1992
950,1992
983,1992
987,1992
990,1992
2,1993
20,1993
31,1993
40,1993
41,1993
42,1993
51,1993
52,1993
53,1993
54,1993
55,1993
56,1993
57,1993
58,1993
60,1993
70,1993
80,1993
90,1993
91,1993
92,1993
93,1993
94,1993
95,1993
100,1993
101,1993
110,1993
115,1993
130,1993
135,1993
140,1993
145,1993
150,1993
155,1993
160,1993
165,1993
200,1993
205,1993
210,1993
211,1993
212,1993
220,1993
221,1993
223,1993
225,1993
230,1993
232,1993
235,1993
255,1993
290,1993
305,1993
310,1993
316,1993
317,1993
325,1993
331,1993
338,1993
339,1993
343,1993
344,1993
345,1993
346,1993
349,1993
350,1993
352,1993
355,1993
359,1993
360,1993
365,1993
366,1993
367,1993
368,1993
369,1993
370,1993
371,1993
372,1993
373,1993
375,1993
380,1993
385,1993
390,1993
395,1993
402,1993
403,1993
404,1993
411,1993
420,1993
432,1993
433,1993
434,1993
435,1993
436,1993
437,1993
438,1993
439,1993
450,1993
451,1993
452,1993
461,1993
471,1993
475,1993
481,1993
482,1993
483,1993
484,1993
490,1993
500,1993
501,1993
510,1993
516,1993
517,1993
520,1993
522,1993
530,1993
531,1993
540,1993
541,1993
551,1993
552,1993
553,1993
560,1993
565,1993
570,1993
571,1993
572,1993
580,1993
581,1993
590,1993
591,1993
600,1993
615,1993
616,1993
620,1993
625,1993
630,1993
640,1993
645,1993
651,1993
652,1993
660,1993
663,1993
666,1993
670,1993
679,1993
690,1993
692,1993
694,1993
696,1993
698,1993
700,1993
701,1993
702,1993
703,1993
704,1993
705,1993
710,1993
712,1993
713,1993
731,1993
732,1993
740,1993
750,1993
760,1993
770,1993
771,1993
775,1993
780,1993
781,1993
790,1993
800,1993
811,1993
812,1993
816,1993
820,1993
830,1993
835,1993
840,1993
850,1993
900,1993
910,1993
920,1993
935,1993
940,1993
950,1993
983,1993
987,1993
990,1993
2,1994
20,1994
31,1994
40,1994
41,1994
42,1994
51,1994
52,1994
53,1994
54,1994
55,1994
56,1994
57,1994
58,1994
60,1994
70,1994
80,1994
90,1994
91,1994
92,1994
93,1994
94,1994
95,1994
100,1994
101,1994
110,1994
115,1994
130,1994
135,1994
140,1994
145,1994
150,1994
155,1994
160,1994
165,1994
200,1994
205,1994
210,1994
211,1994
212,1994
220,1994
221,1994
223,1994
225,1994
230,1994
232,1994
235,1994
255,1994
290,1994
305,1994
310,1994
316,1994
317,1994
325,1994
331,1994
338,1994
339,1994
343,1994
344,1994
345,1994
346,1994
349,1994
350,1994
352,1994
355,1994
359,1994
360,1994
365,1994
366,1994
367,1994
368,1994
369,1994
370,1994
371,1994
372,1994
373,1994
375,1994
380,1994
385,1994
390,1994
395,1994
402,1994
403,1994
404,1994
411,1994
420,1994
432,1994
433,1994
434,1994
435,1994
436,1994
437,1994
438,1994
439,1994
450,1994
451,1994
452,1994
461,1994
471,1994
475,1994
481,1994
482,1994
483,1994
484,1994
490,1994
500,1994
501,1994
510,1994
516,1994
517,1994
520,1994
522,1994
530,1994
531,1994
540,1994
541,1994
551,1994
552,1994
553,1994
560,1994
565,1994
570,1994
571,1994
572,1994
580,1994
581,1994
590,1994
591,1994
600,1994
615,1994
616,1994
620,1994
625,1994
630,1994
640,1994
645,1994
651,1994
652,1994
660,1994
663,1994
666,1994
670,1994
