year,month,n_events,n_dissent_events,frac_dissent_events,pi,eta
1990.0,1.0,31935.0,145.0,0.004540472835447002,0.15927724843401908,-3.5850899367079005
1990.0,2.0,28556.0,119.0,0.004167250315170192,0.15707729985489677,-3.5408140005401916
1990.0,3.0,33291.0,137.0,0.00411522633744856,0.16520942245073045,-3.540022463945174
1990.0,4.0,29092.0,117.0,0.00402172418534305,0.16643831963256125,-3.4681950532393206
1990.0,5.0,33267.0,165.0,0.004959870141581748,0.15711384266075684,-3.5765456089811725
1990.0,6.0,32679.0,152.0,0.0046513051194957,0.15463496401154267,-3.6137709449856734
1990.0,7.0,31402.0,130.0,0.004139863702948857,0.1621491129962376,-3.5414181537496168
1990.0,8.0,33531.0,116.0,0.003459485252452954,0.1762845023612603,-3.4241191917841505
1990.0,9.0,33626.0,122.0,0.003628144887884375,0.16339398454831533,-3.5697376404993038
1990.0,10.0,36538.0,180.0,0.004926378017406536,0.1590724839546207,-3.6164706657269963
1990.0,11.0,33100.0,165.0,0.004984894259818731,0.15691148744566144,-3.598261598615117
1990.0,12.0,25366.0,108.0,0.004257667744224552,0.17426837800359332,-3.2753654096451017
1991.0,1.0,38367.0,170.0,0.004430891130398519,0.16451447464155786,-3.521029016137765
1991.0,2.0,33426.0,133.0,0.0039789385508286965,0.1558596750464542,-3.5838734862743853
1991.0,3.0,34895.0,172.0,0.004929072933084969,0.15482401747841815,-3.5925651646861954
1991.0,4.0,35581.0,140.0,0.003934684241589613,0.1540916516173588,-3.626818943203814
1991.0,5.0,36582.0,173.0,0.004729101744027117,0.15391356900939443,-3.6487442605403153
1991.0,6.0,33293.0,118.0,0.0035442885891929232,0.15018427521022515,-3.6835984805827966
1991.0,7.0,35264.0,131.0,0.0037148366606170598,0.14463105868522505,-3.7080352061219597
1991.0,8.0,30732.0,115.0,0.0037420278537029805,0.1566033933256062,-3.5710355776820273
1991.0,9.0,34736.0,145.0,0.004174343620451405,0.14934780419539043,-3.684876353815405
1991.0,10.0,38194.0,136.0,0.003560768707126774,0.15629185035103377,-3.6498500605540056
1991.0,11.0,35590.0,117.0,0.0032874402922169147,0.15355586216966144,-3.7205089011919017
1991.0,12.0,33071.0,96.0,0.0029028453932448367,0.15684495896223752,-3.584271544214242
1992.0,1.0,39135.0,125.0,0.0031940718027341254,0.1559202865815158,-3.667529431446785
1992.0,2.0,36070.0,140.0,0.0038813418353202105,0.14406267015696864,-3.7888100332451238
1992.0,3.0,39282.0,144.0,0.003665801130288682,0.1444355337858264,-3.754913212793985
1992.0,4.0,38075.0,164.0,0.0043072882468811555,0.14702027151170116,-3.675950941716909
1992.0,5.0,36517.0,150.0,0.0041076758769888,0.13808134390421017,-3.821266929455232
1992.0,6.0,38455.0,122.0,0.0031725393316863865,0.1416688676191791,-3.7983566616925093
1992.0,7.0,37928.0,143.0,0.0037703016241299302,0.14111127207352614,-3.757555506235367
1992.0,8.0,33238.0,169.0,0.005084541789518022,0.1486732448394783,-3.6463503024303296
1992.0,9.0,40133.0,142.0,0.0035382353674033836,0.14990047532592926,-3.728331287433963
1992.0,10.0,41014.0,170.0,0.004144926122787341,0.14170664667121655,-3.81475586368519
1992.0,11.0,38456.0,157.0,0.004082587892656543,0.14118211302083378,-3.8135462223568384
1992.0,12.0,38595.0,157.0,0.0040678844409897654,0.15330655109132243,-3.670830491274494
1993.0,1.0,39701.0,130.0,0.003274476713432911,0.14931570425829585,-3.7654358207847283
1993.0,2.0,40291.0,142.0,0.0035243602789704898,0.1443139360061433,-3.861710771945875
1993.0,3.0,47837.0,156.0,0.003261074064009031,0.14697131035415445,-3.8147894363561203
1993.0,4.0,43669.0,167.0,0.0038242231331150245,0.14557372253054116,-3.78719168420298
1993.0,5.0,42629.0,143.0,0.00335452391564428,0.1433295026591502,-3.860021027895162
1993.0,6.0,46216.0,132.0,0.002856153712999827,0.13306761655589236,-3.9660130023875255
1993.0,7.0,45122.0,191.0,0.004232968396790922,0.1385757642472394,-3.8933165483458074
1993.0,8.0,42151.0,145.0,0.003440013285568551,0.1411158582180264,-3.867758249087151
1993.0,9.0,49250.0,161.0,0.003269035532994924,0.14683474483710598,-3.8850630433514137
1993.0,10.0,49781.0,158.0,0.0031739016893995702,0.13473526051243867,-4.027843300585621
